player_name,player_id,timeframe,aLevel,Age,TeamName,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
Dallas Macias,702582,last_45,A,22.7,Augusta GreenJackets,Total,AUG,- - -,,,30,103,121,24,17,4,0,3,23,19,14,0,17,2,1,1,1,2,2,.233,11.6%,14.0%,.824,.333,.359,.693,.126,,.250,,14.7,-2.7,.320,84
Jace LaViolette,702593,last_45,A+,22.7,Lake County Captains,Total,LC,- - -,,,29,116,134,27,15,5,0,7,23,24,16,0,54,2,0,0,1,6,0,.233,11.9%,40.3%,.296,.336,.457,.793,.224,,.364,,20.3,1.1,.356,106
Dom Krupinski,702597,last_45,A,22.3,Myrtle Beach Pelicans,Total,MB,- - -,,,1,3,4,1,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,.333,25.0%,25.0%,1.000,.500,.333,.833,.000,,.500,,0.8,0.2,.405,135
Matt Klein,702600,last_45,ACL,22.8,ACL Rockies,Total,A-RCK,- - -,,,10,25,35,7,5,2,0,0,5,3,9,0,7,0,0,1,0,0,1,.280,25.7%,20.0%,1.286,.471,.360,.831,.080,,.389,,6.6,1.0,.398,119
Lamar King Jr.,702601,last_45,A+,22.6,Fort Wayne TinCaps,Total,FW,- - -,,,18,69,78,10,10,0,0,0,6,6,4,0,23,4,1,0,0,1,2,.145,5.1%,29.5%,.174,.231,.145,.376,.000,,.213,,1.7,-9.4,.191,16
Dakota Jordan,702607,last_45,A+,23.2,Eugene Emeralds,Total,EUG,- - -,,,30,117,125,36,15,11,0,10,22,28,6,0,26,2,0,0,3,8,0,.308,4.8%,20.8%,.231,.352,.658,1.010,.350,,.321,,26.0,8.9,.438,152
Ike Irish,702610,last_45,A+,22.7,Frederick Keys,Total,FRE,- - -,,,22,94,112,35,21,8,0,6,22,19,14,0,16,2,2,0,2,9,4,.372,12.5%,14.3%,.875,.455,.649,1.104,.277,,.392,,27.4,11.1,.478,168
Luke Hill,702619,last_45,AA,22.2,Akron RubberDucks,Total,AKR,- - -,,,6,22,23,2,1,1,0,0,1,0,1,0,8,0,0,0,1,0,1,.091,4.3%,34.8%,.125,.130,.136,.267,.045,,.143,,-0.8,-3.8,.127,-26
Gage Harrelson,702629,last_45,A+,22.3,Tri-City Dust Devils,Total,TRI,- - -,,,21,62,75,15,10,4,0,1,14,5,10,0,22,1,1,1,0,3,1,.242,13.3%,29.3%,.455,.351,.355,.706,.113,,.350,,9.1,-1.4,.328,87
Luke Hanson,702630,last_45,A+,22.9,Hub City Spartanburgers,Total,HCS,- - -,,,35,132,156,39,28,9,0,2,19,10,21,0,24,2,1,0,4,6,5,.295,13.5%,15.4%,.875,.397,.409,.807,.114,,.346,,24.9,2.3,.370,110
Adonys Guzman,702631,last_45,A,22.7,Salem RidgeYaks,Total,SAL,- - -,,,21,74,87,20,10,4,0,6,16,18,8,0,19,2,3,0,2,0,0,.270,9.2%,21.8%,.421,.345,.568,.912,.297,,.269,,15.6,3.4,.392,128
Andrew Fischer,702652,last_45,AA,22.2,Biloxi Shuckers,Total,BLX,- - -,,,34,125,152,35,15,5,2,13,30,27,22,0,52,2,3,0,0,5,3,.280,14.5%,34.2%,.423,.388,.664,1.052,.384,,.349,,32.9,11.8,.447,156
Dylan Dreiling,702662,last_45,AA,23.3,Frisco RoughRiders,Total,FRI,- - -,,,35,143,154,43,22,10,2,9,24,22,11,0,42,0,0,0,1,2,3,.301,7.1%,27.3%,.262,.351,.587,.938,.287,,.370,,28.6,7.2,.409,133
Korbyn Dickerson,702668,last_45,A+,22.8,Everett AquaSox,Total,EVE,- - -,,,31,118,136,31,20,7,0,4,22,18,14,1,28,4,0,0,1,12,3,.263,10.3%,20.6%,.500,.360,.424,.784,.161,,.314,,20.5,0.1,.355,100
Demetrio Crisantes,702679,last_45,AAA,21.9,Reno Aces,Total,RNO,- - -,,,34,138,155,43,28,9,2,4,26,26,12,0,24,2,2,1,3,0,3,.312,7.7%,15.5%,.500,.370,.493,.863,.181,,.348,,25.3,3.3,.382,115
Everett Cooper III,702686,last_45,FCL,23.0,FCL Nationals,Total,F-NAT,- - -,,,11,29,33,2,1,1,0,0,0,0,4,0,7,0,0,0,0,1,0,.069,12.1%,21.2%,.571,.182,.103,.285,.034,,.091,,-0.0,-5.1,.153,0
Cutter Coffey,702690,last_45,AA,22.2,New Hampshire Fisher Cats,Total,NH,- - -,,,20,67,79,14,10,1,2,1,8,7,10,0,20,0,2,0,2,0,1,.209,12.7%,25.3%,.500,.304,.328,.632,.119,,.271,,7.4,-2.9,.290,72
Jaison Chourio,702693,last_45,AA,21.2,Akron RubberDucks,Total,AKR,- - -,,,36,140,157,32,22,8,0,2,20,15,16,1,40,0,1,0,2,8,1,.229,10.2%,25.5%,.400,.306,.329,.634,.100,,.303,,14.7,-5.7,.290,72
Easton Carmichael,702695,last_45,A+,22.7,Greensboro Grasshoppers,Total,GBO,- - -,,,30,124,134,37,24,6,0,7,23,24,7,0,25,1,2,0,2,2,1,.298,5.2%,18.7%,.280,.336,.516,.852,.218,,.319,,21.7,2.7,.374,114
Kolby Branch,702705,last_45,A,23.5,Hickory Crawdads,Total,HIC,- - -,,,4,17,18,3,3,0,0,0,3,0,0,0,7,1,0,0,0,0,1,.176,0.0%,38.9%,.000,.222,.176,.399,.000,,.300,,0.4,-2.1,.193,17
Emaarion Boyd,702708,last_45,AA,22.9,Pensacola Blue Wahoos,Total,PNS,- - -,,,16,43,52,10,8,0,0,2,8,5,1,0,15,5,0,3,1,3,2,.233,1.9%,28.8%,.067,.327,.372,.699,.140,,.308,,6.3,-0.9,.325,87
RJ Austin,702720,last_45,A+,22.6,Frederick Keys,Total,FRE,- - -,,,29,113,133,32,22,4,2,4,26,13,13,0,21,6,1,0,0,14,4,.283,9.8%,15.8%,.619,.383,.460,.844,.177,,.315,,22.3,3.0,.381,116
Luke Adams,702726,last_45,AAA,22.3,Nashville Sounds,Total,NAS,- - -,,,30,102,127,27,14,6,1,6,24,19,18,0,14,6,1,0,1,3,0,.265,14.2%,11.0%,1.286,.402,.520,.921,.255,,.253,,23.2,5.9,.410,134
Austin Gauthier,702789,last_45,AAA,27.2,Oklahoma City Comets,Total,OKC,- - -,,,20,70,78,25,20,2,0,3,8,19,7,0,15,0,1,0,2,0,1,.357,9.0%,19.2%,.467,.410,.514,.925,.157,,.415,,14.4,2.9,.411,125
Andy Lugo,702889,last_45,A+,22.4,Cedar Rapids Kernels,Total,CR,- - -,,,15,44,57,15,12,2,0,1,9,9,10,0,14,2,1,0,0,3,1,.341,17.5%,24.6%,.714,.474,.455,.928,.114,,.467,,11.7,3.5,.425,143
