player_name,player_id,timeframe,aLevel,Age,TeamName,Date,Team,Opp,GS,W,L,ERA,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP
Cole Peschl,828497,last_7,A+,23.5,Cedar Rapids Kernels,Total,CR,- - -,0,1,0,6.23,0,0,0,4.1,19,4,3,3,1,2,0,0,0,0,3,6.23,4.15,1.50,2.08,15.8%,10.5%,5.3%,.235,1.38,,,7.00
Griffin Kilander,828499,last_7,A,22.9,Salem RidgeYaks,Total,SAL,- - -,0,0,1,12.27,0,0,0,3.2,19,5,6,5,1,4,0,0,0,0,5,12.27,9.82,1.25,2.45,26.3%,21.1%,5.3%,.333,2.45,,,7.12
Joey Danielson,828506,last_7,A+,25.4,Hub City Spartanburgers,Total,HCS,- - -,0,0,1,7.71,0,0,1,2.1,11,1,2,2,0,3,0,0,1,0,2,7.71,11.57,.67,.00,18.2%,27.3%,-9.1%,.125,1.71,,,5.37
Bryce Alewine,828508,last_7,FCL,21.5,FCL Tigers,Total,F-TIG,- - -,0,0,0,.00,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,9.00,9.00,1.00,.00,20.0%,20.0%,0.0%,.250,2.00,,,4.93
Michael Caldon,828511,last_7,A,23.6,Delmarva Shorebirds,Total,DEL,- - -,0,1,0,.00,0,0,0,1.1,5,1,1,0,0,0,0,0,2,0,1,6.75,.00,,.00,20.0%,0.0%,20.0%,.200,.75,,,1.53
Ryan Minckler,828514,last_7,A,23.7,Fredericksburg Nationals,Total,FBG,- - -,0,0,0,.00,0,0,0,2.2,8,0,0,0,0,1,0,0,0,0,3,1.12,3.38,3.00,.00,37.5%,12.5%,25.0%,.000,.38,,,1.90
Luke Lashutka,828518,last_7,A+,24.0,Beloit Sky Carp,Total,BEL,- - -,1,0,1,4.50,0,0,0,4.0,14,1,2,2,1,1,0,0,0,0,2,4.50,2.25,2.00,2.25,14.3%,7.1%,7.1%,.077,.50,,,7.00
Twine Palmer,828520,last_7,A+,21.8,Frederick Keys,Total,FRE,- - -,0,1,0,.00,0,0,0,5.0,19,3,0,0,0,2,0,0,0,0,2,3.60,3.60,1.00,.00,10.5%,10.5%,0.0%,.176,1.00,,,3.63
Gustavo De La Cruz,828552,last_7,DSL,20.0,DSL Arizona Black,Total,D-ARB,- - -,0,0,0,9.00,0,0,0,2.0,12,3,3,2,0,2,0,1,1,0,5,22.50,9.00,2.50,.00,41.7%,16.7%,25.0%,.333,2.50,,,4.20
Alvaro Carrillo,828592,last_7,DSL,21.2,DSL Mets Orange,Total,D-MEO,- - -,0,0,0,9.00,0,0,0,3.0,17,2,4,3,0,4,0,2,3,0,3,9.00,12.00,.75,.00,17.6%,23.5%,-5.9%,.182,2.00,,,8.70
